Element,Host,Comp_Mo,Comp_Nb,Comp_Ta,Comp_V,Comp_W,Host_Mo,Host_Nb,Host_Ta,Host_V,Host_W,Pure_VFE,Alloy_VFE,Min_VFE,Max_VFE,Percentile_VFE,
MoNb,Mo,0.5,0.5,0,0,0,1,0,0,0,0,2.81734,3.427284,3.10121,3.6936,3.37975,
MoTa,Mo,0.5,0,0.5,0,0,1,0,0,0,0,2.81734,3.549363,3.21195,3.83419,3.47916,
MoV,Mo,0.5,0,0,0.5,0,1,0,0,0,0,2.81734,3.273831,3.1286,3.40724,3.231695,
MoW,Mo,0.5,0,0,0,0.5,1,0,0,0,0,2.81734,2.678732,2.5786,2.81533,2.65141,
MoNbTa,Mo,0.3333333333333333,0.3333333333333333,0.3333333333333333,0,0,1,0,0,0,0,2.81734,3.3325,3.10456,3.59977,3.2068,
MoNbV,Mo,0.3333333333333333,0.3333333333333333,0,0.3333333333333333,0,1,0,0,0,0,2.81734,2.95507,2.82086,3.48299,2.9465,
MoNbW,Mo,0.3333333333333333,0.3333333333333333,0,0,0.3333333333333333,1,0,0,0,0,2.81734,3.787778,3.5134,4.10405,3.68211,
MoTaV,Mo,0.3333333333333333,0,0.3333333333333333,0.3333333333333333,0,1,0,0,0,0,2.81734,3.156468,2.8709,3.42306,3.03806,
MoTaW,Mo,0.3333333333333333,0,0.3333333333333333,0,0.3333333333333333,1,0,0,0,0,2.81734,3.953386,3.71755,4.21931,3.83162,
MoVW,Mo,0.3333333333333333,0,0,0.3333333333333333,0.3333333333333333,1,0,0,0,0,2.81734,3.7436155555555692,3.64,3.87,3.6825,
MoNbTaV,Mo,0.25,0.25,0.25,0.25,0,1,0,0,0,0,2.81734,3.093372,2.79581,3.61072,2.94292,
MoNbTaW,Mo,0.25,0.25,0.25,0,0.25,1,0,0,0,0,2.81734,3.653731,3.24871,4.08797,3.49562,
MoTaVW,Mo,0.25,0,0.25,0.25,0.25,1,0,0,0,0,2.81734,3.635552,3.0841,3.92402,3.54877,
MoNbVW,Mo,0.25,0.25,0,0.25,0.25,1,0,0,0,0,2.81734,3.492895,2.899560185,3.750240185,3.42813,
MoNbTaVW,Mo,0.2,0.2,0.2,0.2,0.2,1,0,0,0,0,2.81734,3.257855,2.8448,3.62671,3.0948,
MoNb,Nb,0.5,0.5,0,0,0,0,1,0,0,0,2.7863611111110913,3.408975074074049,2.993181,3.732751,3.300756,
NbTa,Nb,0,0.5,0.5,0,0,0,1,0,0,0,2.7863611111110913,2.9102051840740666,2.807701,2.994171,2.87394,
NbV,Nb,0,0.5,0,0.5,0,0,1,0,0,0,2.7863611111110913,2.280754813703738,1.813921,2.733761,2.074326,
NbW,Nb,0,0.5,0,0,0.5,0,1,0,0,0,2.7863611111110913,3.427770739629548,,,3.3302,3.6175
MoNbTa,Nb,0.3333333333333333,0.3333333333333333,0.3333333333333333,0,0,0,1,0,0,0,2.7863611111110913,3.1442483333333007,2.6431111,3.574491111,2.947401111,
MoNbV,Nb,0.3333333333333333,0.3333333333333333,0,0.3333333333333333,0,0,1,0,0,0,2.7863611111110913,2.879008333333402,2.49616111,3.111241111,2.769226111,
MoNbW,Nb,0.3333333333333333,0.3333333333333333,0,0,0.3333333333333333,0,1,0,0,0,2.7863611111110913,3.6961177777778054,3.311891111,4.050691111,3.579701111,
NbTaV,Nb,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0,0,1,0,0,0,2.7863611111110913,2.561695000000024,2.27,2.96,2.47,
NbTaW,Nb,0,0.3333333333333333,0.3333333333333333,0,0.3333333333333333,0,1,0,0,0,2.7863611111110913,3.2357438888889383,2.86,3.79,3.02,
NbVW,Nb,0,0.3333333333333333,0,0.3333333333333333,0.3333333333333333,0,1,0,0,0,2.7863611111110913,3.0544,2.47,3.3,2.855,3.1675
MoNbTaV,Nb,0.25,0.25,0.25,0.25,0,0,1,0,0,0,2.7863611111110913,2.881762777777758,2.483041111,3.320611111,2.745494,
MoNbTaW,Nb,0.25,0.25,0.25,0,0.25,0,1,0,0,0,2.7863611111110913,3.523739444444491,2.977491111,3.959221111,3.411983611,
MoNbVW,Nb,0.25,0.25,0,0.25,0.25,0,1,0,0,0,2.7863611111110913,3.3281972222222502,2.719211111,3.727831111,3.173514,
NbTaVW,Nb,0,0.25,0.25,0.25,0.25,0,1,0,0,0,2.7863611111110913,2.922299,2.397471111,3.300721111,2.771731111,
MoNbTaVW,Nb,0.2,0.2,0.2,0.2,0.2,0,1,0,0,0,2.7863611111110913,3.099823,2.666781,3.884411,2.982066,
MoTa,Ta,0.5,0,0.5,0,0,0,0,1,0,0,2.840733703703677,3.482686962962989,2.898314,3.981584,3.338119,
NbTa,Ta,0,0.5,0.5,0,0,0,0,1,0,0,2.840733703703677,2.927656962963022,2.822274,3.056494,2.884079,
TaV,Ta,0,0,0.5,0.5,0,0,0,1,0,0,2.840733703703677,2.3613311111110735,1.86,2.99,2.165,
TaW,Ta,0,0,0.5,0,0.5,0,0,1,0,0,2.840733703703677,3.6949640740741136,3.13,4.43,3.51,
MoNbTa,Ta,0.3333333333333333,0.3333333333333333,0.3333333333333333,0,0,0,0,1,0,0,2.840733703703677,3.1960370370369917,2.615663704,3.733003704,3.087061,
MoTaV,Ta,0.3333333333333333,0,0.3333333333333333,0.3333333333333333,0,0,0,1,0,0,2.840733703703677,3.0069692592592743,2.425623704,3.406113704,2.899926,
MoTaW,Ta,0.3333333333333333,0,0.3333333333333333,0,0.3333333333333333,0,0,1,0,0,2.840733703703677,3.9255231481481934,3.413943704,4.340633704,3.826038704,
NbTaV,Ta,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0,0,0,1,0,0,2.840733703703677,2.5909103703703713,2.13,3.02,2.3625,
NbTaW,Ta,0,0.3333333333333333,0.3333333333333333,0,0.3333333333333333,0,0,1,0,0,2.840733703703677,3.2914192592592966,2.84,4.13,3.0525,
TaVW,Ta,0,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0,0,1,0,0,2.840733703703677,3.2206,2.49,3.6,3.04,3.405
MoNbTaV,Ta,0.25,0.25,0.25,0.25,0,0,0,1,0,0,2.840733703703677,2.875197592592562,2.261053704,3.367473704,2.760816204,3.049258704
MoNbTaW,Ta,0.25,0.25,0.25,0,0.25,0,0,1,0,0,2.840733703703677,3.5159620370370774,2.833343704,4.022673704,3.343111,3.642531
